%
@relation Huotari500_Standardized.arff

@attribute feature1 REAL
@attribute feature2 REAL
@attribute feature3 REAL
@attribute feature4 REAL
@attribute feature5 REAL
@attribute feature6 REAL
@attribute feature7 REAL
@attribute feature8 REAL
@attribute feature9 REAL
@attribute feature10 REAL
@attribute feature11 REAL
@attribute feature12 REAL
@attribute feature13 REAL
@attribute feature14 REAL
@attribute feature15 REAL
@attribute feature16 REAL
@attribute feature17 REAL
@attribute feature18 REAL
@attribute feature19 REAL
@attribute feature20 REAL
@attribute feature21 REAL
@attribute feature22 REAL
@attribute feature23 REAL
@attribute feature24 REAL
@attribute feature25 REAL
@attribute class {1,2,3,4}

@data
0.40919,0.21731,0.43235,0.37224,0.70037,0.44077,0.61695,0.58096,0.70366,0.61967,0.086938,0.2188,0.68509,0.20842,0.52889,0.33217,0.18383,0.73115,0.67243,0.21105,0.60728,0.56603,0.72511,0.55359,0.26107,2
0.61055,0.20495,0.31626,0.11457,0.394,0.2242,0.42097,0.30362,0.33187,0.30881,0.10325,0.40749,0.69871,0.41491,0.36067,0.26038,0.25995,0.71156,0.66436,0.35495,0.77002,0.68319,0.6654,0.058636,0.12577,1
0.5239,0.37244,0.48062,0.38111,0.55182,0.51518,0.19393,0.16561,0.4513,0.57421,0.072947,0.25825,0.70446,0.28365,0.46363,0.73041,0.22238,0.7783,0.73036,0.22874,0.65121,0.58842,0.74155,0.082714,0.1124,3
0.36941,0.12261,0.26355,0.15802,0.50207,0.33483,0.4318,0.21989,0.47872,0.43815,0.084294,0.45112,0.3986,0.23426,0.37439,0.25673,0.17206,0.7016,0.70982,0.42371,0.79018,0.82063,0.49886,0.15673,0.2366,1
0.48628,0.31378,0.48112,0.44769,1,0.81926,0.53329,0.30732,0.88984,0.97739,0.052103,0.24512,0.80186,0.32362,0.46066,0.47781,0.31656,0.81836,0.7581,0.20973,0.6329,0.46977,0.81944,0.15765,0.18197,2
0.35214,0.061131,0.20378,0.044963,0.017562,0.0023692,0.068015,0.0056788,0.027193,0.0032097,0.34722,0.17608,0.4076,0.077821,0.67129,0.26755,0.068943,0.48607,0.43304,0.21428,0.49383,0.75625,0.45565,0.012129,0.090583,4
0.33272,0.11237,0.26076,0.14354,0.44741,0.29567,0.29951,0.18172,0.43437,0.40725,0.011596,0.4458,0.74741,0.53226,0.24573,0.70963,0.44363,0.91805,0.91577,0.3108,0.77122,0.64582,0.75413,0.017172,0.083338,1
0.43663,0.24452,0.42381,0.33614,0.50904,0.44077,0.37787,0.278,0.5267,0.50819,0.094256,0.24669,0.58635,0.18643,0.51667,0.34847,0.1527,0.70348,0.66036,0.24374,0.63268,0.61564,0.68577,0.33748,0.07079,2
0.21677,0.18693,0.21034,0.20579,0.60921,0.92351,0.23763,0.16429,0.47442,0.77498,0.025051,0.26413,0.87101,0.49497,0.38325,0.7967,0.48534,0.92618,0.85618,0.18808,0.62065,0.39981,0.88807,0.14417,0.036698,3
0.46284,0.20671,0.30739,0.15975,0.4594,0.28397,0.31191,0.22887,0.48065,0.41616,0.15563,0.2175,0.70113,0.2068,0.59372,0.24016,0.19283,0.67343,0.60351,0.24026,0.60016,0.50601,0.73754,0.10026,0.21603,1
0.36602,0.12827,0.26043,0.14051,0.58322,0.38836,0.52365,0.27919,0.58113,0.51178,0.066102,0.39381,0.52167,0.26227,0.36558,0.3549,0.20114,0.75301,0.75274,0.34328,0.75531,0.7721,0.57599,0.11825,0.15019,1
0.81899,0.65972,0.71248,0.59425,0.32886,0.27357,0.27194,0.10499,0.37627,0.31882,0.34708,0.072421,0.68254,0.070558,0.79094,0.10001,0.067879,0.45032,0.38228,0.091373,0.36794,0.43013,0.65658,0.46849,0.3123,2
0.43417,0.14876,0.33186,0.18115,0.58777,0.47829,0.27627,0.21632,0.4884,0.57402,0.015477,0.4334,0.7267,0.44987,0.26348,0.90196,0.40751,0.90738,0.9114,0.31065,0.76841,0.66985,0.72793,0.031779,0.097362,1
0.58434,0.18551,0.6381,0.58301,0.30415,0.22788,0.28578,0.1178,0.32528,0.27551,0.023,0.421,0.8062,0.58963,0.33295,0.51745,0.54446,0.91216,0.88936,0.35204,0.77618,0.53832,0.81918,0.21823,0.44128,2
0.17299,0.13922,0.10887,0.097492,0.43199,0.71429,0.19646,0.14897,0.24281,0.48654,0.043059,0.49057,0.881,0.70025,0.29511,0.51335,0.71216,0.93451,0.82844,0.40878,0.81258,0.29091,0.93722,0.032427,0.047355,1
0.20475,0.18233,0.16798,0.15045,0.43306,0.4383,0.26363,0.14157,0.40986,0.45952,0.26665,0.13688,0.42427,0.071045,0.71827,0.12384,0.057993,0.47183,0.41958,0.1705,0.47236,0.64821,0.54009,0.17976,0.056645,1
0.34844,0.1258,0.26847,0.16429,0.44326,0.29016,0.31913,0.37903,0.40198,0.40304,0.024674,0.37292,0.85398,0.57475,0.29009,0.65032,0.57925,0.94051,0.88211,0.25847,0.71834,0.44942,0.87315,0.090769,0.081338,1
0.39593,0.20071,0.32233,0.20774,0.35673,0.21212,0.26857,0.13193,0.36811,0.31168,0.041207,0.40363,0.59572,0.30201,0.34222,0.46268,0.25224,0.81082,0.81255,0.3378,0.75712,0.73508,0.63254,0.040963,0.18407,1
