@relation 'HTS data set'
@attribute 'feature1' real
@attribute 'feature2' real
@attribute 'feature3' real
@attribute 'feature4' real
@attribute 'feature5' real
@attribute 'feature6' real
@attribute 'feature7' real
@attribute 'feature8' real
@attribute 'feature9' real
@attribute 'feature10' real
@attribute 'feature11' real
@attribute 'feature12' real
@attribute 'feature13' real
@attribute 'feature14' real
@attribute 'feature15' real
@attribute 'feature16' real
@attribute 'feature17' real
@attribute 'feature18' real
@attribute 'feature19' real
@attribute 'feature20' real
@attribute 'feature21' real
@attribute 'feature22' real
@attribute 'feature23' real
@attribute 'feature24' real
@attribute 'feature25' real
@attribute 'feature26' real
@attribute 'feature27' real
@attribute class {1, 2, 3, 4, 5}
@data
0.006969,0.000436,0.006742,0.000553,0.006865,0.000513,0.005591,0.000708,0.003464,0.000187,0.004668,0.001202,0.087392,0.828928,0.776644,1.857655,0.711786,6.216593,6.593078,2.244104,2.841744,0.446444,0.956273,-0.263640,0.760380,0.006249,0.005014,1
0.007255,0.000475,0.006521,0.000744,0.006877,0.000737,0.004930,0.000615,0.003378,0.000135,0.004154,0.000907,0.102046,0.721857,0.741700,1.472691,0.728438,8.537582,4.784784,2.136253,2.658793,0.393627,0.903088,-0.254733,0.743785,0.000806,0.006401,1
0.008116,0.000668,0.007603,0.000943,0.007839,0.000864,0.005012,0.000579,0.003502,0.000335,0.004234,0.000907,0.079626,0.700783,0.835702,1.902900,0.732691,8.152920,7.352895,2.342773,2.807504,0.384588,0.894844,-0.360567,0.845090,0.003569,0.002040,1
0.007734,0.000551,0.007139,0.000651,0.007397,0.000664,0.004862,0.000508,0.003492,0.000326,0.004139,0.000818,0.091625,0.646167,0.837718,2.007499,0.747683,5.582982,7.259121,2.261908,2.738687,0.367148,0.869417,-0.339887,0.822801,0.004860,0.007894,1
0.009388,0.000648,0.008405,0.001371,0.008812,0.001226,0.006116,0.001056,0.003501,0.000224,0.004691,0.001518,0.066925,1.034104,0.717189,1.819687,0.670150,6.975144,6.263544,2.305182,3.008117,0.512870,1.028543,-0.224529,0.730330,0.002032,0.011265,1
0.008180,0.000613,0.008374,0.000822,0.008248,0.000729,0.005434,0.000932,0.003371,0.000120,0.004395,0.001238,0.061846,1.561869,0.677637,2.429123,0.639840,6.991162,8.126605,2.373479,3.201131,0.832627,1.179600,-0.196534,0.708714,0.008907,0.001595,2
0.009335,0.000634,0.008480,0.001757,0.008822,0.001457,0.006254,0.001204,0.003488,0.000226,0.004741,0.001631,0.066375,1.113664,0.739873,1.897952,0.652671,7.391777,7.195966,2.297176,3.028341,0.529650,1.047950,-0.222744,0.734136,0.013691,0.007464,1
0.007935,0.000713,0.007017,0.000756,0.007480,0.000878,0.005058,0.000573,0.003410,0.000165,0.004257,0.000942,0.090851,0.916335,0.821093,2.385841,0.731176,7.545817,9.107010,2.373759,2.874760,0.555726,0.998884,-0.359567,0.849639,0.009904,0.002079,1
0.009634,0.000683,0.009806,0.001615,0.009700,0.001239,0.006721,0.001428,0.003502,0.000224,0.005189,0.001939,0.147930,0.480408,0.825766,1.451398,0.783108,5.522226,4.919904,1.991129,2.348765,0.285438,0.759519,-0.328525,0.779778,0.006316,0.004089,1
0.007700,0.000577,0.007178,0.000794,0.007400,0.000758,0.005099,0.000558,0.003504,0.000382,0.004233,0.000937,0.069410,1.241623,0.811100,3.345567,0.652765,7.631393,11.712454,2.379650,3.092876,0.625661,1.106913,-0.275655,0.794292,0.006272,0.001235,1
0.007927,0.000489,0.007596,0.000837,0.007740,0.000729,0.005199,0.000623,0.003534,0.000421,0.004315,0.001000,0.101328,1.188235,0.679488,1.855212,0.671040,6.461592,6.126726,2.160661,2.774985,0.632720,1.093746,-0.214134,0.697705,0.004214,0.002084,1
0.008398,0.000984,0.006942,0.001514,0.007623,0.001493,0.005456,0.000909,0.003403,0.000148,0.004401,0.001224,0.112956,0.450022,0.888425,1.859626,0.787560,8.202095,6.542745,2.283225,2.517657,0.265921,0.728811,-0.464292,0.889150,0.004459,0.005400,1
0.008071,0.000562,0.007117,0.000960,0.007534,0.000946,0.005750,0.000922,0.003462,0.000191,0.004528,0.001330,0.063987,0.998495,0.806038,2.397149,0.685825,7.257272,8.830000,2.434296,3.073277,0.522990,1.023122,-0.301619,0.815533,0.005840,0.004320,1
0.008342,0.000666,0.008940,0.001281,0.008598,0.001045,0.006196,0.001054,0.003497,0.000203,0.005005,0.001577,0.107710,0.772025,0.782771,1.648566,0.731341,6.001627,6.248845,2.193794,2.708612,0.439894,0.937125,-0.289938,0.779382,0.001067,0.009586,1
0.007905,0.000674,0.006942,0.000960,0.007401,0.000977,0.005314,0.000671,0.003444,0.000175,0.004362,0.001070,0.083722,0.693377,0.835021,2.177374,0.728863,7.718724,7.654326,2.369756,2.850667,0.371369,0.882640,-0.347086,0.840590,0.006698,0.005045,1
0.007682,0.000596,0.007005,0.000872,0.007319,0.000836,0.005423,0.000773,0.003426,0.000163,0.004405,0.001157,0.104897,0.775267,0.824644,2.164581,0.722840,7.065245,7.828152,2.232203,2.724713,0.425933,0.928544,-0.332765,0.815421,0.004592,0.001700,1
0.007596,0.000526,0.006940,0.000830,0.007238,0.000783,0.005567,0.000900,0.003448,0.000167,0.004467,0.001250,0.087772,0.890901,0.777293,2.032014,0.697899,8.289724,6.753543,2.302168,2.835096,0.465955,0.975228,-0.291056,0.793156,0.006395,0.000978,1
