%
@relation WildDetailed500_Standardized.arff

@attribute feature1 REAL
@attribute feature2 REAL
@attribute feature3 REAL
@attribute feature4 REAL
@attribute feature5 REAL
@attribute feature6 REAL
@attribute feature7 REAL
@attribute feature8 REAL
@attribute feature9 REAL
@attribute feature10 REAL
@attribute feature11 REAL
@attribute feature12 REAL
@attribute feature13 REAL
@attribute feature14 REAL
@attribute feature15 REAL
@attribute feature16 REAL
@attribute feature17 REAL
@attribute feature18 REAL
@attribute feature19 REAL
@attribute feature20 REAL
@attribute feature21 REAL
@attribute feature22 REAL
@attribute feature23 REAL
@attribute feature24 REAL
@attribute feature25 REAL
@attribute class {1,2,3,4,5,6,7,8,9,10}

@data
0.23328,0.11572,0.31059,0.48152,0.3889,0.13048,0.78685,0.10364,0.46377,0.17698,0.063264,0.26902,0.95199,1,0.70971,0.62054,1,0.99387,0.94401,0.31272,0.63142,0.38237,0.96803,0.19166,0.10289,6
0.63861,0.27569,0.56349,0.37546,0.49569,0.13015,0.921,0.23542,0.59191,0.23247,0.21797,0.20233,0.83191,0.33538,0.8185,0.33026,0.24766,0.70811,0.65698,0.338,0.59557,0.52545,0.82839,0.02395,0.054831,1
0.28539,0.18266,0.2635,0.16722,0.53795,0.17701,0.92702,0.2766,0.61883,0.28054,0.20812,0.25287,0.55413,0.1643,0.73966,0.3979,0.13759,0.64626,0.67434,0.33138,0.6381,0.81036,0.55576,0.032884,0.07326,9
0.38604,0.24652,0.43061,0.32927,0.4127,0.14189,0.8396,0.13246,0.49621,0.18908,0.11685,0.16,0.90711,0.35235,0.80223,0.81892,0.37353,0.87852,0.78879,0.22888,0.52175,0.38215,0.93747,0.064283,0.018288,2
0.28881,0.11831,0.33728,0.29749,0.42461,0.14646,0.82346,0.1208,0.50358,0.20256,0.080558,0.18571,0.95394,0.71902,0.77509,0.74596,0.68145,0.96453,0.87171,0.24769,0.55065,0.32424,0.97671,0.030738,0.16352,5
0.51438,0.26888,0.51339,0.27679,0.39525,0.099272,0.87259,0.17159,0.49335,0.15449,0.081764,0.25434,0.88679,0.55024,0.73712,0.7473,0.51784,0.93438,0.89138,0.33011,0.64005,0.4578,0.9255,0.1922,0.2272,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10
0.18378,0.012966,0.18068,0.014043,0.35466,0.081005,0.81912,0.11942,0.44985,0.12754,0.1025,0.54648,0.22126,0.21777,0.60302,0.5599,0.13951,0.70344,0.83329,0.5857,0.82972,0.96565,0.27122,0.042567,0.0038451,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10
0.44478,0.18136,0.41651,0.20713,0.32123,0.049364,0.84249,0.15854,0.43347,0.08712,0.11445,0.20169,0.90148,0.47517,0.78377,0.43454,0.43949,0.8609,0.80093,0.29245,0.59208,0.43241,0.91701,0.11283,0.067867,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10
0.54751,0.57585,0.52838,0.51238,0.39987,0.12287,0.86464,0.15511,0.48393,0.16625,0.096233,0.33731,0.77376,0.36818,0.69796,0.58692,0.37235,0.8681,0.87688,0.42275,0.71433,0.62996,0.81638,0.11913,0.22988,3
0.33299,0.13614,0.40591,0.44956,0.60829,0.26204,0.89595,0.22855,0.64749,0.36652,0.060484,0.25483,0.9404,0.8546,0.69938,0.67588,0.82363,0.99446,0.94048,0.26693,0.58514,0.38579,0.96766,0.087881,0.040967,5
0.37315,0.18136,0.37098,0.17295,0.42762,0.098619,0.8526,0.17982,0.52262,0.18315,0.077764,0.23547,0.90664,0.58069,0.74753,0.72468,0.56455,0.95218,0.90421,0.3089,0.61839,0.43398,0.93799,0.054218,0.029432,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10
0.34858,0.16483,0.36765,0.19937,0.38228,0.093509,0.84393,0.14207,0.47226,0.14741,0.097505,0.29586,0.82613,0.41797,0.72885,0.63968,0.41898,0.88887,0.87596,0.39819,0.68883,0.56703,0.862,0.092083,0.11277,4
0.23251,0.059968,0.29418,0.3592,0.3889,0.12395,0.83333,0.11599,0.47513,0.16533,0.057939,0.34874,0.91665,0.94056,0.66489,0.7466,0.90942,1,0.96591,0.37844,0.69643,0.43171,0.95312,0.075406,0.043015,5
0.25568,0.16677,0.3947,0.87084,0.37987,0.12015,0.81021,0.11736,0.45998,0.16157,0.074878,0.28301,0.91808,0.77068,0.69616,0.54368,0.74652,0.94906,0.91101,0.31542,0.63744,0.43733,0.93853,0.47213,0.32611,6
0.52434,0.35348,0.50834,0.3058,0.3683,0.087855,0.8473,0.22306,0.48547,0.13702,0.058386,0.45172,0.79438,0.60525,0.65284,0.61327,0.55768,0.94836,0.9864,0.54035,0.79159,0.63748,0.83455,0.097916,0.073635,3
0.44803,0.31102,0.45145,0.30007,0.45998,0.13744,0.91209,0.21757,0.52866,0.20541,0.10277,0.25505,0.88434,0.5466,0.73499,0.62103,0.51982,0.9087,0.87542,0.32805,0.63867,0.47927,0.90954,0.12839,0.21332,4
0.33583,0.096921,0.34264,0.13821,0.41665,0.09427,0.85092,0.19698,0.51136,0.17435,0.1157,0.37583,0.86714,0.7119,0.70316,0.532,0.68556,0.89359,0.89379,0.50552,0.74894,0.57257,0.85805,0.066267,0.10141,3
0.28367,0.19417,0.25827,0.17701,0.54637,0.27302,0.92148,0.23679,0.65548,0.33307,0.37896,0.15668,0.82229,0.16402,0.85192,0.25627,0.19735,0.55694,0.50586,0.27637,0.53596,0.51053,0.76151,0.087793,0.023461,9
0.51992,0.28233,0.50643,0.26441,0.51046,0.18115,0.89475,0.21688,0.57789,0.26513,0.068705,0.36646,0.82231,0.51157,0.68406,0.62814,0.50591,0.93433,0.94691,0.45035,0.7361,0.59911,0.85611,0.18552,0.1954,3
0.23093,0.041491,0.24111,0.085366,0.41718,0.13233,0.84562,0.15031,0.50522,0.18806,0.14238,0.21934,0.86949,0.4217,0.76412,0.53248,0.40607,0.84139,0.79759,0.30119,0.6073,0.50755,0.8709,0.033442,0.069665,9
0.23283,0.090113,0.33267,0.5316,0.36202,0.097097,0.8131,0.11599,0.45363,0.14021,0.08058,0.36495,0.88639,0.81545,0.66731,0.76207,0.73717,0.96061,0.92808,0.41338,0.71634,0.45083,0.93843,0.16374,0.12983,5
0.26988,0.10535,0.31378,0.25092,0.43016,0.10406,0.84754,0.18668,0.51648,0.1884,0.077251,0.25283,0.8993,0.61665,0.7229,0.77188,0.54714,0.94359,0.89027,0.3037,0.621,0.44859,0.93383,0.10666,0.11882,5
0.571,0.37682,0.55893,0.34996,0.36021,0.084158,0.86224,0.31434,0.45455,0.12777,0.079617,0.33382,0.80463,0.47806,0.68378,0.54255,0.43232,0.88687,0.89453,0.38849,0.69936,0.59646,0.84194,0.047107,0.40028,3
0.23521,0.089951,0.23175,0.080192,0.29863,0.078613,0.84152,0.092656,0.41986,0.085979,0.1514,0.17052,0.92912,0.45129,0.79613,0.6091,0.45806,0.85714,0.77582,0.24354,0.54117,0.36871,0.93395,0.049664,0.041155,9
0.47111,0.36094,0.49304,0.34516,0.50719,0.18713,0.87404,0.19561,0.59406,0.27164,0.12422,0.16639,0.88129,0.34967,0.79706,0.81521,0.31933,0.85132,0.77273,0.236,0.53164,0.42276,0.9137,0.11781,0.24521,3
