@relation 'HTS data set-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P75.0-weka.filters.unsupervised.instance.RemovePercentage-P4.21'

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute feature8 numeric
@attribute feature9 numeric
@attribute feature10 numeric
@attribute feature11 numeric
@attribute feature12 numeric
@attribute feature13 numeric
@attribute feature14 numeric
@attribute feature15 numeric
@attribute feature16 numeric
@attribute feature17 numeric
@attribute feature18 numeric
@attribute feature19 numeric
@attribute feature20 numeric
@attribute feature21 numeric
@attribute feature22 numeric
@attribute feature23 numeric
@attribute feature24 numeric
@attribute feature25 numeric
@attribute feature26 numeric
@attribute feature27 numeric
@attribute class {1,2,3,4,5}

@data
0.001955,0.00004,0.001948,0.000042,0.001951,0.000041,0.005555,0.001083,0.002232,0.000656,0.003375,0.001857,0.061633,3.100287,0.129228,1.711152,0.509315,6.979943,4.019655,2.085502,3.170281,1.363027,1.473815,-0.040949,0.355042,0.001272,0.001253,1
0.001864,0.000034,0.001861,0.000035,0.001862,0.000035,0.001771,0.000028,0.001758,0.00003,0.001759,0.00003,0.053531,3.522936,-0.033951,1.613185,0.452999,10.229358,3.286844,1.982225,3.178561,1.341217,1.496617,-0.053912,0.40596,0.002253,0.001469,5
0.002179,0.000052,0.002111,0.000057,0.002122,0.000062,0.007231,0.004252,0.001953,0.000365,0.003045,0.002988,0.081652,2.464088,0.04291,1.454046,0.55483,11.127072,2.67446,1.896272,2.858096,1.168768,1.360395,-0.062827,0.418422,0.001107,0.002526,4
0.001915,0.000039,0.001918,0.000037,0.001917,0.000038,0.001783,0.000029,0.001772,0.00003,0.001772,0.00003,0.045488,4.894231,0.081462,2.700351,0.455917,10.240385,5.759523,2.220389,3.323075,2.190736,1.669004,-0.157837,0.659257,0.005551,0.001294,5
0.001971,0.000084,0.001886,0.000043,0.001909,0.000069,0.003118,0.000328,0.001906,0.000256,0.002222,0.00062,0.048621,2.728337,0.367867,2.135601,0.506057,7.248244,5.900904,2.225621,3.319346,1.134948,1.391381,-0.083351,0.501233,0.003233,0.001172,1
0.005386,0.001646,0.007165,0.003825,0.006592,0.003466,0.004719,0.000761,0.002105,0.000512,0.002848,0.001361,0.142276,1.188581,0.615442,1.209998,0.699467,4.046713,4.625846,1.866884,2.36059,0.707262,1.082562,-0.20829,0.669919,0.017357,0.042678,2
0.001873,0.000035,0.001875,0.000036,0.001874,0.000036,0.001776,0.000029,0.00177,0.000029,0.001772,0.00003,0.054494,3.175234,0.04931,1.646847,0.491063,10.051402,3.504367,2.037786,3.217004,1.338829,1.47276,-0.019553,0.248499,0.00217,0.003929,5
0.002079,0.000041,0.002082,0.000043,0.002082,0.000042,0.00179,0.000028,0.001775,0.000031,0.001776,0.000031,0.043585,5.35514,-0.077738,2.501529,0.416724,7.990654,4.570006,2.087981,3.332044,2.101668,1.685128,-0.14874,0.644884,0.00559,0.001296,5
0.002456,0.000552,0.00232,0.000645,0.002351,0.000599,0.012852,0.006831,0.002279,0.000847,0.006066,0.006694,0.384904,0.952,0.890667,1.396524,0.778118,3.58,8.1036,1.505101,1.725795,0.673216,0.972554,-0.377819,0.783088,0.005469,0.017986,3
0.001873,0.000038,0.001872,0.000036,0.001873,0.000036,0.001755,0.000028,0.001747,0.00003,0.001748,0.00003,0.054002,4.222615,-0.08532,1.985816,0.440878,9.982332,3.557992,2.034289,3.221627,1.682928,1.584302,-0.03845,0.345178,0.000834,0.001872,5
0.001891,0.000037,0.001893,0.000035,0.001892,0.000036,0.001784,0.000029,0.001776,0.000029,0.001776,0.00003,0.052456,3.33758,-0.046585,1.463264,0.459688,8.56051,3.023409,1.899976,3.138494,1.265447,1.472427,-0.077234,0.476823,0.003594,0.001814,5
0.002024,0.000041,0.00203,0.000045,0.002028,0.000044,0.003689,0.000438,0.001986,0.00039,0.002556,0.000928,0.058862,3.739206,-0.034622,1.820326,0.465598,9.466321,3.488935,2.026133,3.257004,1.517613,1.542689,-0.020609,0.256545,0.00349,0.003298,1
0.00202,0.000042,0.002017,0.000041,0.002017,0.000041,0.001755,0.000029,0.001744,0.00003,0.001746,0.00003,0.085619,2.104046,0.06039,1.116075,0.551131,9.66474,2.37315,1.838755,2.849679,0.910522,1.290889,-0.03255,0.299992,0.002943,0.00149,5
0.002007,0.00004,0.002003,0.000042,0.002004,0.000041,0.003945,0.000628,0.001927,0.000319,0.00254,0.001058,0.047937,3.109612,0.069664,1.642473,0.484247,9.038786,3.575224,2.043548,3.285594,1.262213,1.452562,-0.033092,0.324137,0.003541,0.001401,1
0.001798,0.000027,0.001797,0.000028,0.001797,0.000027,0.002414,0.000135,0.001879,0.000151,0.002054,0.0003,0.042808,4.033028,0.047308,2.088962,0.427041,10.187156,4.431028,2.159127,3.432849,1.473027,1.550071,-0.02041,0.261905,0.001828,0.001138,1
0.00186,0.000038,0.001862,0.000035,0.001862,0.000035,0.001769,0.000028,0.001758,0.00003,0.001758,0.00003,0.049346,4.051724,0.088989,2.144694,0.432563,8.310345,4.782996,2.135,3.288018,1.535672,1.524947,-0.119899,0.588773,0.003847,0.001435,5
0.002223,0.000049,0.002162,0.000061,0.002172,0.000064,0.008188,0.004664,0.002107,0.000539,0.003447,0.0035,0.043934,4.083333,-0.008773,2.03047,0.438941,8.357143,4.003401,2.076778,3.317129,1.576389,1.545052,-0.077642,0.486266,0.002631,0.001437,4
0.001895,0.000036,0.001895,0.000038,0.001895,0.000037,0.00176,0.00003,0.001759,0.000029,0.001759,0.000029,0.100679,2.151383,-0.041982,1.047679,0.562684,8.176128,1.977713,1.751548,2.776093,0.987999,1.316239,-0.016959,0.215949,0.002287,0.002123,5
0.001899,0.000036,0.001895,0.000038,0.001897,0.000037,0.001738,0.00003,0.001729,0.000031,0.001731,0.00003,0.056973,2.941521,-0.011733,1.446881,0.500251,8.994152,2.87326,1.938285,3.169377,1.235772,1.43873,-0.020853,0.25424,0.002148,0.001694,5
0.002324,0.000106,0.002126,0.000163,0.002171,0.00017,0.00768,0.002058,0.002137,0.00068,0.003652,0.002836,0.065686,1.547284,0.591687,1.410936,0.604864,6.750503,5.643989,2.212425,3.043615,0.709156,1.174106,-0.140228,0.61987,0.004198,0.006249,3
0.002033,0.000042,0.002032,0.000047,0.002032,0.000045,0.005849,0.00097,0.002241,0.000712,0.003274,0.001873,0.058757,2.700952,0.062673,1.394286,0.50949,8.502857,3.049992,1.96439,3.147819,1.110952,1.398861,-0.020532,0.252622,0.002028,0.002511,1
0.003086,0.000842,0.004251,0.001284,0.003839,0.001271,0.005357,0.000764,0.002228,0.000674,0.003244,0.001671,0.401686,0.473757,0.504769,0.506608,0.860198,2.733425,1.433082,1.16339,1.408333,0.378886,0.696813,-0.205203,0.529852,0.019795,0.035579,2
0.002159,0.000293,0.002034,0.000179,0.002081,0.000242,0.006222,0.002034,0.002205,0.000709,0.003731,0.002466,0.410729,0.54527,0.636183,0.748225,0.881823,2.974568,2.452049,1.271207,1.463212,0.467574,0.641325,-0.40544,0.725566,0.005335,0.002276,3
0.001964,0.00004,0.001964,0.00004,0.001964,0.00004,0.00361,0.000467,0.001976,0.000316,0.002537,0.000888,0.066232,2.942529,-0.058682,1.382382,0.501249,8.899425,2.616322,1.890345,3.098425,1.240554,1.436654,-0.019904,0.245942,0.001346,0.002868,1
0.00272,0.000503,0.003082,0.000463,0.002948,0.000506,0.006054,0.002131,0.002489,0.001645,0.003691,0.002558,0.210666,0.626007,0.907363,3.458598,0.757422,4.264672,12.031215,1.847352,2.220422,0.367302,0.863669,-0.383437,0.810723,0.005719,0.000958,3
0.001896,0.000038,0.001898,0.000037,0.001898,0.000037,0.001771,0.00003,0.001757,0.000031,0.001757,0.000032,0.057967,4.655172,-0.109965,2.469382,0.418902,8.965517,3.722949,2.021695,3.210747,1.800238,1.61561,-0.118083,0.587227,0.001978,0.001457,5
0.001956,0.00004,0.001931,0.000045,0.001937,0.000045,0.00648,0.003146,0.002117,0.000482,0.003385,0.002749,0.043693,4.872611,-0.104044,2.056879,0.424596,9.382166,3.95586,2.061323,3.380357,1.980446,1.625457,-0.101615,0.554964,0.005551,0.000926,4
0.001878,0.000036,0.00188,0.000035,0.001879,0.000035,0.001759,0.00003,0.001753,0.000031,0.001754,0.000031,0.05668,3.579202,-0.044995,1.675946,0.456161,9.322854,3.270614,1.988833,3.174931,1.374318,1.502363,-0.017431,0.233622,0.002661,0.001383,5
0.002,0.000047,0.001988,0.000045,0.001992,0.000046,0.005036,0.001315,0.002304,0.000778,0.003349,0.001741,0.048786,2.764294,0.180405,1.676827,0.499005,8.281213,3.973428,2.098464,3.259713,1.107802,1.400264,-0.029133,0.303266,0.001065,0.003279,3
0.001776,0.000028,0.001775,0.000027,0.001775,0.000027,0.002472,0.000161,0.001809,0.00014,0.001975,0.000332,0.078313,2.666667,-0.034156,1.3289,0.512862,8.056645,2.489166,1.856144,2.962327,1.113684,1.390866,-0.019926,0.242287,0.001438,0.001006,1
0.001806,0.000032,0.001808,0.000034,0.001808,0.000034,0.001759,0.000028,0.001745,0.000031,0.001745,0.000031,0.036445,5.770642,-0.094313,2.572006,0.413865,9.495413,4.745392,2.15121,3.533961,2.370171,1.680162,-0.10599,0.57366,0.001378,0.0012,5
0.001806,0.000035,0.001806,0.000034,0.001806,0.000035,0.001754,0.000028,0.001744,0.000029,0.001744,0.000029,0.062155,2.842697,-0.020134,1.395054,0.49457,9,2.726592,1.896449,3.075324,1.134144,1.413286,-0.04305,0.356525,0.004026,0.003888,5
0.002955,0.000455,0.004311,0.000803,0.003939,0.000962,0.00513,0.000777,0.002145,0.000632,0.002939,0.001523,0.08474,2.105155,0.34871,1.429202,0.609963,5.086598,4.330645,2.023817,2.792474,1.145967,1.265793,-0.127533,0.566321,0.011557,0.010433,2
0.001921,0.000039,0.001926,0.000039,0.001924,0.000039,0.00314,0.000282,0.001962,0.000346,0.002356,0.00066,0.078503,3.352025,0.001401,1.648344,0.48498,7.76324,3.358275,1.932898,2.961002,1.395512,1.466093,-0.026698,0.279124,0.002753,0.003146,1
